Код номенклатуры~Номенклатура
00313273~Мороженое пломбир с ароматом ванили м.д.ж. 15% 0,07кг г/я 3,36кг (МФМ) Зам
00000057~Тушка ЦБ 1 сорта пакет г/я
00257245~Микс ЦБ (Плечевая часть крыла, локтевая часть крыла) вес лоток г/я 12кг Зам
00269705~Микс ЦБ: (Бедро, голень) вес лоток г/я 6кг Охл
00236411~Микс ЦБ: (Бедро, голень) лоток 1,5 кг г/я 12 кг Зам
00001168~Бедро ЦБ вес лоток г/я 6 кг Зам
00001170~Большое филе ЦБ вес лоток г/я 6,8 кг Зам
00335615~Сосиски Нежные Свиные в/с вес т/ф газ г/я Охл
00286763~Колбаски Кабаносы в/к в/с т/ф 0,55кг г/я 3,3кг (РФ) Охл
00296732~Колбаса Сервелат с сыром в/к в/с т/ф вак 0,36кг г/я 2,88кг (РФ) Охл
