Магазин~Адрес~Регион~Область~Широта~Долгота
"""Минская обл,  Воложин г., Советская ул., д. 95, магазин """"Евроопт""""""~""Минская обл, Воложинский р-н, Воложин г., Советская ул., д. 95, магазин """"Евроопт""""""~Воложин г.~Минская обл~54,09234~26,52094"
"""Минск г., Пушкина пр., д. 3А, магазин """"Евроопт""""""~Минск г., Пушкина пр., д. 3А~Минск г.~Минская обл~53,89668~27,49594"
"""Минск г., Ольшевского ул., дом № 20 пом.2, магазин """"Хит! Экспресс""""""~Минск г., Ольшевского ул., дом № 20 пом.2~Минск г.~Минская обл~53,91738~27,50212"
Витебская обл, Орша г., Ленина ул., дом № 230Ю Склад~Витебская обл, Орша г., Ленина ул., дом № 230Ю~Орша г.~ВИТЕБСКАЯ обл~54,53907~30,44640
Минская обл,  Борисов г., Гагарина ул., д. 107~Минская обл, Борисовский р-н, Борисов г., Гагарина ул., д. 107~Борисов г.~Минская обл~54,20665~28,48617
"""Минская обл, Борисов г., Труда ул., дом № 2, магазин """"Грошык""""""~Минская обл, Борисов г., Труда ул., дом № 2, магазин Грошык~Борисов г~Минская обл~54,22390~28,52969"
"""Минская обл, Червенский р-н, Турец аг., Юбилейная ул., д. 16, магазин """"Евроопт""""""~Минская обл, Червенский р-н, Турец аг., Юбилейная ул., д. 16~Червенский р-н~Минская обл~53,66634~28,08086"
Минская обл, Смолевичский р-н, Смолевичи г., Первомайская ул., д. 1б~Минская обл, Смолевичский р-н, Смолевичи г., Первомайская ул., д. 1~Смолевичский р-н~Минская обл~54,02913~28,09104
"""Минская обл, Березино г., Купалы Я. ул., д. 1/2, магазин """"Евроопт""""""~Минская обл, Березино г., Купалы Я. ул., д. 1/2~Березино г.~Минская обл~53,83005~28,99065"
"""Минская обл, Логойск г., Народная ул., дом № 2Б, магазин """"Хит! Экспресс""""""~Минская обл, Логойск г., Народная ул., дом № 2Б~Логойск г.~Минская обл~54,18906~27,84719"
